"Level","Year","Wages","Wages-Commissions","Wages-Employee Insurance","Wages-Other","Purchases","Purchases-Other","Profit","Depreciation","Rent","Rent-Other","Utilities","Other Costs","Other Costs-Repair and Maintenance","Other Costs-Vehicle Costs","Other Costs-Other"
"Industry","2008","55.4","7.9","0.5","91.6","8.2","100","2.1","6","1.7","100","0.8","25.8","1.2","1.9","96.9"
"Sector","2008","59.88","","","","11.28","","4.52","3.6","2.03","","0.88","17.79","","",""
"Industry","2009","54.8","8.8","0.5","90.7","7.7","100","9","5.8","1.5","100","0.7","20.5","0.9","1.8","97.3"
"Sector","2009","61.1","","","","7.7","","8.5","0.6","4.2","","2.3","15.6","","",""
"Industry","2010","54.8","8","0.4","91.6","7.6","100","9.3","5.8","1.5","100","0.7","20.3","1","1.4","97.6"
"Sector","2010","57.24","","","","11.23","","7.55","2.8","3.09","","1.2","16.89","","",""
"Industry","2011","55.4","7.9","0.4","91.7","7.7","100","8.4","6","1.5","100","0.8","20.2","0.5","1.1","98.4"
"Sector","2011","59.35","","","","13.22","","3.85","4.26","1.79","","1.11","16.41","","",""
"Industry","2012","56.1","7","0.3","92.7","7.8","100","7.8","6.1","1.6","100","0.8","19.8","0.8","1.4","97.8"
"Sector","2012","59.25","","","","13.37","","4.57","4.39","1.77","","1.13","15.53","","",""
"Industry","2013","55.7","7.2","0.3","92.5","7.9","100","7.9","6.1","1.5","100","0.8","20.1","0.9","1.4","97.7"
"Sector","2013","58.65","","","","12.85","","3.94","4.33","1.97","","1.2","17.06","","",""
"Industry","2014","56.1","7.1","0.4","92.5","7.4","100","7","6.5","1.5","100","0.7","20.8","0.7","1.1","98.2"
"Sector","2014","46.29","","","","13.44","","4.64","4","2.25","","1.22","28.15","","",""
"Industry","2015","55.8","11.9","0.3","87.8","7.5","100","5.9","6.9","1.2","100","0.6","22.1","0.7","0.7","98.6"
"Sector","2015","46.75","","","","12.74","","4.8","4.15","2.27","","1.32","27.96","","",""
"Industry","2016","55.9","10.6","0.3","89.1","7.7","100","5.3","7","1.1","100","0.6","22.4","0.7","0.6","98.7"
"Sector","2016","43.66","","","","13.63","","4.06","4.26","2.27","","1.22","30.9","","",""
"Industry","2017","55.7","8.7","0.3","91","7.2","100","6.4","6.9","1.2","100","0.6","22","0.4","0.7","98.9"
"Sector","2017","54.89","","","","11.47","","3.97","3.68","2.25","","1.92","21.82","","",""
"Industry","2018","54.8","9.2","0.3","90.5","6.9","100","4.5","6.8","1.3","100","0.7","25","0.5","0.6","98.9"
"Sector","2018","54.29","","","","11.68","","3.79","3.9","1.61","","1.7","23.03","","",""
"Industry","2019","55.8","8.7","0.3","91","6.4","100","6.5","7.5","1.4","100","0.7","21.7","0.5","0.6","98.9"
"Sector","2019","55.46","","","","11.27","","3.41","3.64","1.65","","1.59","22.99","","",""
"Industry","2020","59.7","9.3","0.3","90.4","6.1","100","2","8.1","1.3","100","0.7","22.1","0.5","0.6","98.9"
"Sector","2020","56.15","","","","6.6","","3.45","3.76","1.7","","1.51","26.83","","",""
"Industry","2021","54.3","9.3","0.3","90.4","5.8","100","14.1","7.3","1.4","100","0.6","16.5","0.5","0.6","98.9"
"Sector","2021","53.7","","","","10.02","","3.29","2.39","2.41","","1.25","26.94","","",""
"Industry","2022","56.8","9.3","0.3","90.4","7.1","100","-3.6","8.5","1.6","100","0.7","28.9","0.5","0.6","98.9"
"Sector","2022","54.76","","","","7.82","","3.17","3.7","1.75","","1.04","27.77","","",""
"Industry","2023","59.6","9.3","0.3","90.4","7.2","100","4.9","7.3","1.4","100","0.8","18.8","0.5","0.6","98.9"
"Sector","2023","52.43","","","","9.43","","3.61","4.64","1.82","","1.64","26.44","","",""
"Industry","2024","60.4","9.3","0.3","90.4","7.3","100","3.9","7.4","1.4","100","0.8","18.8","0.5","0.6","98.9"
"Sector","2024","54.94","","","","8.63","","7.47","4.38","2.86","","1.82","19.9","","",""
"Industry","2025","60.3","9.3","0.3","90.4","7.6","100","3.1","7.4","1.4","100","0.7","19.5","0.5","0.6","98.9"
"Sector","2025","53.07","","","","9.04","","5.08","3.8","1.55","","1.7","25.76","","",""
